feature,consensus_score,rank,selected
state,0.4745917089161579,1,True
service,0.4745917089161579,2,True
proto,0.4745917089161579,3,True
load_per_pkt,0.4745917089161579,4,True
rate_per_pkt,0.4745917089161579,5,True
win_ratio,0.4745917089161579,6,True
tcp_setup_ratio,0.4745917089161579,7,True
dst_loss_rate,0.4745917089161579,8,True
src_loss_rate,0.4745917089161579,9,True
loss_rate,0.4745917089161579,10,True
bytes_per_pkt_total,0.4745917089161579,11,True
pkt_size_asym,0.4745917089161579,12,True
mean_pkt_dst,0.4745917089161579,13,True
mean_pkt_src,0.4745917089161579,14,True
jit_ratio,0.4745917089161579,15,True
inter_pkt_ratio,0.4745917089161579,16,True
ttl_diff,0.4745917089161579,17,True
load_ratio,0.4745917089161579,18,True
pkt_ratio,0.4745917089161579,19,True
byte_ratio,0.4745917089161579,20,True
ct_srv_dst,0.4745917089161579,21,True
ct_src_ltm,0.4745917089161579,22,True
ct_dst_src_ltm,0.4745917089161579,23,True
ct_state_ttl,0.4745917089161579,24,True
ct_dst_ltm,0.4745917089161579,25,True
ct_src_dport_ltm,0.4745917089161579,26,True
ct_dst_sport_ltm,0.4745917089161579,27,True
dttl,0.4745917089161579,28,True
sttl,0.4745917089161579,29,True
rate,0.4745917089161579,30,True
dbytes,0.4745917089161579,31,True
ct_srv_src,0.4745917089161579,32,True
dmean,0.4745917089161579,33,True
ackdat,0.4745917089161579,34,True
smean,0.4745917089161579,35,True
swin,0.4745917089161579,36,True
tcprtt,0.4745917089161579,37,True
synack,0.4745917089161579,38,True
dloss,0.4745917089161579,39,True
sinpkt,0.4745917089161579,40,True
dinpkt,0.4745917089161579,41,True
sjit,0.4745917089161579,42,True
djit,0.4745917089161579,43,True
spkts,0.4745917089161579,44,True
dpkts,0.4745917089161579,45,True
dur,0.4745917089161579,46,True
sload,0.4745917089161579,47,True
sbytes,0.4745917089161579,48,True
sloss,0.4745917089161579,49,True
dload,0.4745917089161579,50,True
is_sm_ips_ports,0.0,51,False
is_ftp_login,0.0,52,False
ct_ftp_cmd,0.0,53,False
ct_flw_http_mthd,0.0,54,False
stcpb,0.0,55,False
response_body_len,0.0,56,False
dtcpb,0.0,57,False
dwin,0.0,58,False
trans_depth,0.0,59,False
